object_name,sample_name,obj. ref
MASTER_WP4_UNINA_2__E-22__bin.7,MASTER_WP4_UNINA_2__E-22__bin.7,218406/2047/1
MASTER_WP4_CSIC_2__P2525__bin.7,MASTER_WP4_CSIC_2__P2525__bin.7,218406/2049/1
CM_UNINA_FFOOD__FFOOD_382__bin.13,CM_UNINA_FFOOD__FFOOD_382__bin.13,218406/2050/1
MASTER_WP4_TEAGASC_1__TGS06-22__bin.7,MASTER_WP4_TEAGASC_1__TGS06-22__bin.7,218406/2053/1
MAG_538,MAG_538,218406/2054/1
MASTER_WP4_FFoQSI_1__VB-09-BD__bin.29,MASTER_WP4_FFoQSI_1__VB-09-BD__bin.29,218406/2058/1
MASTER_WP4_FFoQSI_2__VB10-22__bin.2,MASTER_WP4_FFoQSI_2__VB10-22__bin.2,218406/2062/1
CM_UNINA_FFOOD__FFOOD_415__bin.1,CM_UNINA_FFOOD__FFOOD_415__bin.1,218406/2063/1
MASTER_WP4_FFoQSI_2__VB16-30__bin.25,MASTER_WP4_FFoQSI_2__VB16-30__bin.25,218406/2064/1
MASTER_WP4_UNINA_1__CF008_71775__bin.12,MASTER_WP4_UNINA_1__CF008_71775__bin.12,218406/2065/1
MAG_429,MAG_429,218406/2067/1
FontanaF_2023__SRR20746832__bin.12,FontanaF_2023__SRR20746832__bin.12,218406/2069/1
MASTER_WP4_CSIC_2__P2588__bin.20,MASTER_WP4_CSIC_2__P2588__bin.20,218406/2070/1
MASTER_WP4_FFoQSI_1__VB14-F-BR__bin.36,MASTER_WP4_FFoQSI_1__VB14-F-BR__bin.36,218406/2072/1
FranciosaI_2021__SRR12227960__bin.1,FranciosaI_2021__SRR12227960__bin.1,218406/2078/1
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin.38,MASTER_WP4_FFoQSI_1__RC17-F-AR__bin.38,218406/2081/1
MASTER_WP4_CSIC_2__P2596__bin.7,MASTER_WP4_CSIC_2__P2596__bin.7,218406/2082/1
MAG_52,MAG_52,218406/2084/1
MASTER_WP4_UNINA_1__FO007_71775__bin.19,MASTER_WP4_UNINA_1__FO007_71775__bin.19,218406/2085/1
LeechJ_2020__ERS3967728__bin.8,LeechJ_2020__ERS3967728__bin.8,218406/2086/1
LiZ_2018__SRS2920554__bin.7,LiZ_2018__SRS2920554__bin.7,218406/2087/1
KharnaiorP_2023__SRR22859378__bin.23,KharnaiorP_2023__SRR22859378__bin.23,218406/2088/1
MASTER_WP4_FFoQSI_1__VB-15-AG__bin.9,MASTER_WP4_FFoQSI_1__VB-15-AG__bin.9,218406/2090/1
MASTER_WP4_CSIC_1__P2239_73323__bin.3,MASTER_WP4_CSIC_1__P2239_73323__bin.3,218406/2091/1
DeFilippisF_xxxx__DS_91__bin.2,DeFilippisF_xxxx__DS_91__bin.2,218406/2093/1
EBC_144.5,EBC_144.5,218406/2100/1
MASTER_WP4_FFoQSI_1__KM-1D__bin.32,MASTER_WP4_FFoQSI_1__KM-1D__bin.32,218406/2102/1
MASTER_WP4_UNINA_2__I-30__bin.16,MASTER_WP4_UNINA_2__I-30__bin.16,218406/2104/1
AlvarezOrdonezA_xxxx__Q06-28__bin.11,AlvarezOrdonezA_xxxx__Q06-28__bin.11,218406/2105/1
LeechJ_2020__ERS3967723__bin.14,LeechJ_2020__ERS3967723__bin.14,218406/2106/1
CM_UNINA_FFOOD__FFOOD_410__bin.2,CM_UNINA_FFOOD__FFOOD_410__bin.2,218406/2107/1
LeechJ_xxxx__AF34__bin.8,LeechJ_xxxx__AF34__bin.8,218406/2108/1
MAG_114,MAG_114,218406/2112/1
ODFM-BA-A-0154-001_Lactobacillus_helveticus_NWC_2_4,ODFM-BA-A-0154-001_Lactobacillus_helveticus_NWC_2_4,218406/2114/1
MortensenS_xxxx__WK055-1-L-08h-04F2_S18__bin.2,MortensenS_xxxx__WK055-1-L-08h-04F2_S18__bin.2,218406/2115/1
FontanaF_2023__SRR20746929__bin.8,FontanaF_2023__SRR20746929__bin.8,218406/2118/1
ChaconVargasK_2020__SRS6087088__bin.4,ChaconVargasK_2020__SRS6087088__bin.4,218406/2119/1
MASTER_WP4_FFoQSI_1__VB-05-BG__bin.17,MASTER_WP4_FFoQSI_1__VB-05-BG__bin.17,218406/2121/1
MASTER_WP4_TEAGASC_1__TGS14-22__bin.29,MASTER_WP4_TEAGASC_1__TGS14-22__bin.29,218406/2123/1
MortensenS_xxxx__WK028-2-G-48h-04A4_S104__bin.7,MortensenS_xxxx__WK028-2-G-48h-04A4_S104__bin.7,218406/2128/1
LandisEA_2021__SRS5653168__bin.6,LandisEA_2021__SRS5653168__bin.6,218406/2129/1
MASTER_WP4_UNINA_1__MO011_71775__bin.7,MASTER_WP4_UNINA_1__MO011_71775__bin.7,218406/2132/1
KumarJ_2019__SRS4562503__bin.5,KumarJ_2019__SRS4562503__bin.5,218406/2133/1
MAG_145,MAG_145,218406/2134/1
MASTER_WP4_CSIC_1__P2146_73322__bin.14,MASTER_WP4_CSIC_1__P2146_73322__bin.14,218406/2135/1
AlvarezOrdonezA_xxxx__Q08-29__bin.27,AlvarezOrdonezA_xxxx__Q08-29__bin.27,218406/2137/1
CM_UNINA_FFOOD__FFOOD_332__bin.3,CM_UNINA_FFOOD__FFOOD_332__bin.3,218406/2139/1
FontanaF_2023__SRR20746939__bin.1,FontanaF_2023__SRR20746939__bin.1,218406/2140/1
MortensenS_xxxx__WK037-2-L-08h-03D9_S55__bin.4,MortensenS_xxxx__WK037-2-L-08h-03D9_S55__bin.4,218406/2141/1
SEM_41_S58.19,SEM_41_S58.19,218406/2148/1
LeechJ_xxxx__AF24__bin.1,LeechJ_xxxx__AF24__bin.1,218406/2150/1
MortensenS_xxxx__WK008-2-L-48h-01I5_S56__bin.2,MortensenS_xxxx__WK008-2-L-48h-01I5_S56__bin.2,218406/2151/1
MAG_394,MAG_394,218406/2153/1
NP2.2_bin.7,NP2.2_bin.7,218406/2155/1
LiZ_2018__SRS2920551__bin.21,LiZ_2018__SRS2920551__bin.21,218406/2156/1
WalshAM_2020__ERS3466777__bin.5,WalshAM_2020__ERS3466777__bin.5,218406/2157/1
FalardeauJ_2023__SRR20811136__bin.1,FalardeauJ_2023__SRR20811136__bin.1,218406/2158/1
MAG_367,MAG_367,218406/2159/1
FontanaF_2023__SRR20746916__bin.3,FontanaF_2023__SRR20746916__bin.3,218406/2163/1
MASTER_WP4_FFoQSI_2__VB05-30__bin.35,MASTER_WP4_FFoQSI_2__VB05-30__bin.35,218406/2164/1
ODFM-BA-A-0177-001_Lactobacillus_homohiochii_DSM_20571,ODFM-BA-A-0177-001_Lactobacillus_homohiochii_DSM_20571,218406/2171/1
MASTER_WP4_FFoQSI_3__VB14-22__bin.20,MASTER_WP4_FFoQSI_3__VB14-22__bin.20,218406/2173/1
WalshL_xxxx__H3_S87__bin.33,WalshL_xxxx__H3_S87__bin.33,218406/2174/1
MASTER_WP4_CSIC_2__P2616__bin.25,MASTER_WP4_CSIC_2__P2616__bin.25,218406/2175/1
MASTER_WP4_FFoQSI_2__VB10-22__bin.20,MASTER_WP4_FFoQSI_2__VB10-22__bin.20,218406/2177/1
MASTER_WP4_TEAGASC_1__TGS15-29__bin.18,MASTER_WP4_TEAGASC_1__TGS15-29__bin.18,218406/2178/1
WalshAM_2020__ERS3466749__bin.4,WalshAM_2020__ERS3466749__bin.4,218406/2179/1
WalshL_xxxx__k5__bin.6,WalshL_xxxx__k5__bin.6,218406/2180/1
LeechJ_2020__ERS3967703__bin.3,LeechJ_2020__ERS3967703__bin.3,218406/2181/1
MAG_336,MAG_336,218406/2185/1
MortensenS_xxxx__WK013-1-L-48h-02B5_S74__bin.5,MortensenS_xxxx__WK013-1-L-48h-02B5_S74__bin.5,218406/2188/1
MASTER_WP4_FFoQSI_2__VB08-22__bin.9,MASTER_WP4_FFoQSI_2__VB08-22__bin.9,218406/2194/1
DeFilippisF_xxxx__DS_110__bin.15,DeFilippisF_xxxx__DS_110__bin.15,218406/2195/1
MASTER_WP4_FFoQSI_2__VB15-22__bin.1,MASTER_WP4_FFoQSI_2__VB15-22__bin.1,218406/2196/1
YuY_2022__SRR16950702__bin.26,YuY_2022__SRR16950702__bin.26,218406/2197/1
AlvarezOrdonezA_xxxx__C05-18__bin.6,AlvarezOrdonezA_xxxx__C05-18__bin.6,218406/2198/1
MASTER_WP4_TEAGASC_1__TGS13-30__bin.2,MASTER_WP4_TEAGASC_1__TGS13-30__bin.2,218406/2199/1
MASTER_WP4_UNINA_1__FI109_71775__bin.14,MASTER_WP4_UNINA_1__FI109_71775__bin.14,218406/2201/1
MAG_171,MAG_171,218406/2202/1
CM_UNINA_FFOOD__FFOOD_230__bin.2,CM_UNINA_FFOOD__FFOOD_230__bin.2,218406/2204/1
MASTER_WP4_UNINA_1__MV011_71775__bin.11,MASTER_WP4_UNINA_1__MV011_71775__bin.11,218406/2206/1
LopezSanchezR_2023__SRR13708565__bin.10,LopezSanchezR_2023__SRR13708565__bin.10,218406/2213/1
MASTER_WP4_CSIC_2__P2549__bin.18,MASTER_WP4_CSIC_2__P2549__bin.18,218406/2214/1
PfeferT_xxxx__SRS2870591__bin.4,PfeferT_xxxx__SRS2870591__bin.4,218406/2216/1
MASTER_WP4_UNINA_2__M-29__bin.23,MASTER_WP4_UNINA_2__M-29__bin.23,218406/2217/1
MAG_120,MAG_120,218406/2218/1
WalshL_xxxx__R1__bin.4,WalshL_xxxx__R1__bin.4,218406/2219/1
PatroJN_2016__SRS1044736__bin.4,PatroJN_2016__SRS1044736__bin.4,218406/2221/1
FontanaF_2023__SRR20746925__bin.6,FontanaF_2023__SRR20746925__bin.6,218406/2223/1
ODFM-BA-A-0132-001_Pseudomonas_lactis_ITEM_17295,ODFM-BA-A-0132-001_Pseudomonas_lactis_ITEM_17295,218406/2224/1
MASTER_WP4_UNINA_2__V-21__bin.39,MASTER_WP4_UNINA_2__V-21__bin.39,218406/2229/1
MAG_302,MAG_302,218406/2232/1
Wy2_bin.circ.3,Wy2_bin.circ.3,218406/2233/1
LeechJ_2020__ERS3967721__bin.5,LeechJ_2020__ERS3967721__bin.5,218406/2235/1
FontanaF_2023__SRR20746952__bin.2,FontanaF_2023__SRR20746952__bin.2,218406/2236/1
WalshL_xxxx__H3_S87__bin.8,WalshL_xxxx__H3_S87__bin.8,218406/2238/1
LeechJ_xxxx__AF17__bin.4,LeechJ_xxxx__AF17__bin.4,218406/2239/1
MASTER_WP4_CSIC_2__P2633__bin.16,MASTER_WP4_CSIC_2__P2633__bin.16,218406/2241/1
MagliuloR_2024__SRR28235352__bin.5,MagliuloR_2024__SRR28235352__bin.5,218406/2244/1
ZhaoCC_2020__SRS5803195__bin.38,ZhaoCC_2020__SRS5803195__bin.38,218406/2246/1
LeechJ_2020__ERS3967690__bin.4,LeechJ_2020__ERS3967690__bin.4,218406/2249/1
DeFilippisF_xxxx__DF_41__bin.13,DeFilippisF_xxxx__DF_41__bin.13,218406/2251/1
WalshAM_2017__ERS1739839__bin.4,WalshAM_2017__ERS1739839__bin.4,218406/2253/1
ShangpliangH_2023_b__SRR22851057__bin.11,ShangpliangH_2023_b__SRR22851057__bin.11,218406/2255/1
MASTER_WP4_FFoQSI_3__VB07-22__bin.2,MASTER_WP4_FFoQSI_3__VB07-22__bin.2,218406/2256/1
MAG_353,MAG_353,218406/2258/1
DeFilippisF_xxxx__DS_27__bin.1,DeFilippisF_xxxx__DS_27__bin.1,218406/2260/1
LeechJ_xxxx__AF29__bin.5,LeechJ_xxxx__AF29__bin.5,218406/2262/1
MASTER_WP4_CSIC_2__P2620__bin.18,MASTER_WP4_CSIC_2__P2620__bin.18,218406/2263/1
LiZ_2018__SRS2920551__bin.15,LiZ_2018__SRS2920551__bin.15,218406/2266/1
