sample_accession,experiment_accession,read_count,fastq_ftp,sample_name,filename,description,dna_extracted,fermented,fermentation_day
SAMEA7033807,ERX4261600,551070,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313029/ERR4313029.fastq.gz,11442.G72646,G72646_5x_BE8_01_18319.mzXML,taleggio,TRUE,yes,none
SAMEA7033808,ERX4261601,456878,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313030/ERR4313030.fastq.gz,11442.G72647,G72647_5x_BC9_01_18292.mzXML,stinking bishop,TRUE,yes,none
SAMEA7033809,ERX4261602,435368,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313031/ERR4313031.fastq.gz,11442.G72648,G72648_5x_BH7_01_18405.mzXML,stinking bishop,TRUE,yes,none
SAMEA7033810,ERX4261603,266758,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313032/ERR4313032.fastq.gz,11442.G72649,G72649_5x_BB2_01_18271.mzXML,honey bee goat gouda,TRUE,yes,none
SAMEA7033811,ERX4261604,420060,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313033/ERR4313033.fastq.gz,11442.G72650,G72650_5x_BC3_01_18286.mzXML,lambchopper,TRUE,yes,none
SAMEA7033812,ERX4261605,439881,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313034/ERR4313034.fastq.gz,11442.G72651,G72651_5x_BC5_01_18288.mzXML,le petit basque,TRUE,yes,none
SAMEA7033827,ERX4261620,423550,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313049/ERR4313049.fastq.gz,11442.G72668,G72668_5x_BH6_01_18404.mzXML,Kraft Reduced fat Parmesan cheese,TRUE,yes,none
SAMEA7033845,ERX4261638,383183,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313067/ERR4313067.fastq.gz,11442.G72728,G72728_5x_BA9_01_18264.mzXML,not collected,TRUE,yes,none
SAMEA7033869,ERX4261662,717615,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313091/ERR4313091.fastq.gz,11442.G72793,G72793_5x_BA7_01_18262.mzXML,Sonoma Jack Traditional Jack Cheese,TRUE,yes,none
SAMEA7033873,ERX4261666,629248,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313095/ERR4313095.fastq.gz,11442.G72797,G72797_BG2_01_19034.mzXML,home brew beer biscuit,TRUE,yes,none
SAMEA7033885,ERX4261678,583387,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313107/ERR4313107.fastq.gz,11442.G72822,G72822_1x_10ul_RC1_01_18604.mzXML,"Lorimar 2015 Vineyard Blend (42% Grenache Blanc, 33% Viognier,25% Roussanne)-13.7% ABV",TRUE,yes,red
SAMEA7033887,ERX4261680,5950,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313109/ERR4313109.fastq.gz,11442.G72824,G72824_1x_RE1_01_18552.mzXML,"home brewed beer 2, likely orange creamsicale",TRUE,yes,none
SAMEA7033923,ERX4261715,812025,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313144/ERR4313144.fastq.gz,11442.G73484,G73484_1x_RF7_01_18572.mzXML,Kombucha; Health Ade brand,TRUE,yes,pink/red color
SAMEA7033930,ERX4261722,910097,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313151/ERR4313151.fastq.gz,11442.G73523,G73523_1x_RD7_01_18544.mzXML,ginger kombucha - origonic tonic,TRUE,yes,none
SAMEA7033940,ERX4261732,365834,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/001/ERR4313161/ERR4313161.fastq.gz,11442.G73651,G73651_5x_BE6_01_18317.mzXML,Cahil Porter,TRUE,yes,none
SAMEA7033941,ERX4261733,170868,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4313162/ERR4313162.fastq.gz,11442.G73652,G73652_5x_BB7_01_18276.mzXML,Red Dragon,TRUE,yes,none
SAMEA7033942,ERX4261734,432450,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313163/ERR4313163.fastq.gz,11442.G73653,G73653_5x_BG8_01_18392.mzXML,cheddar cheese,TRUE,yes,none
SAMEA7033943,ERX4261735,483723,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4313164/ERR4313164.fastq.gz,11442.G73654,G73654_5x_BD8_01_18305.mzXML,cheddar cheese,TRUE,yes,none
SAMEA7033945,ERX4261737,367267,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313166/ERR4313166.fastq.gz,11442.G73656,G73656_5x_BA5_01_18260.mzXML,pecorinotoscano,TRUE,yes,none
SAMEA7033949,ERX4261741,384607,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313170/ERR4313170.fastq.gz,11442.G73660,G73660_5x_BB8_01_18277.mzXML,fiore sardo,TRUE,yes,none
SAMEA7033952,ERX4261744,278086,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/003/ERR4313173/ERR4313173.fastq.gz,11442.G73663,G73663_5x_BD9_01_18306.mzXML,garrotxa,TRUE,yes,none
SAMEA7033954,ERX4261746,358205,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313175/ERR4313175.fastq.gz,11442.G73665,G73665_5x_BA11_01_18266.mzXML,manchego,TRUE,yes,none
SAMEA7033955,ERX4261747,483813,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/006/ERR4313176/ERR4313176.fastq.gz,11442.G73666,G73666_5x_BD4_01_18301.mzXML,manchego al ramero,TRUE,yes,none
SAMEA7033956,ERX4261748,381741,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313177/ERR4313177.fastq.gz,11442.G73667,G73667_5x_BG9_01_18393.mzXML,Drunken Goat,TRUE,yes,none
SAMEA7033957,ERX4261749,519979,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313178/ERR4313178.fastq.gz,11442.G73668,G73668_5x_BF5_01_18330.mzXML,ossau-iraty,TRUE,yes,none
SAMEA7033958,ERX4261750,10729,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4313179/ERR4313179.fastq.gz,11442.G73669,G73669_5x_BH2_01_18400.mzXML,ossau-iraty,TRUE,yes,none
SAMEA7033964,ERX4261756,289739,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313185/ERR4313185.fastq.gz,11442.G73675,G73675_5x_BE7_01_18318.mzXML,epoisse,TRUE,yes,none
SAMEA7033969,ERX4261761,501352,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/000/ERR4313190/ERR4313190.fastq.gz,11442.G73680,G73680_5x_BD3_01_18300.mzXML,monte enebro,TRUE,yes,none
SAMEA7033974,ERX4261766,578910,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/005/ERR4313195/ERR4313195.fastq.gz,11442.G73686,G73686_5x_BF3_01_18328.mzXML,chabichou du poitou,TRUE,yes,none
SAMEA7033976,ERX4261768,361502,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4313197/ERR4313197.fastq.gz,11442.G73688,G73688_5x_BG2_01_18386.mzXML,vacherin fribourgeois,TRUE,yes,none
SAMEA7033977,ERX4261769,543503,ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4313198/ERR4313198.fastq.gz,11442.G73689,G73689_5x_BC4_01_18287.mzXML,"alp blossom, flower-covered rind",TRUE,yes,none
